
2025/01/30 (21:57:09) | ===> btop++ v.1.4.0
2025/01/30 (21:57:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:03:49) | ===> btop++ v.1.4.0
2025/01/30 (22:03:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:04:35) | ===> btop++ v.1.4.0
2025/01/30 (22:04:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:05:16) | ===> btop++ v.1.4.0
2025/01/30 (22:05:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:05:52) | ===> btop++ v.1.4.0
2025/01/30 (22:05:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:06:32) | ===> btop++ v.1.4.0
2025/01/30 (22:06:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:15:52) | ===> btop++ v.1.4.0
2025/01/30 (22:15:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:18:07) | ===> btop++ v.1.4.0
2025/01/30 (22:18:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:19:26) | ===> btop++ v.1.4.0
2025/01/30 (22:19:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:55:00) | ===> btop++ v.1.4.0
2025/01/31 (09:55:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:55:34) | ===> btop++ v.1.4.0
2025/01/31 (09:55:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:56:21) | ===> btop++ v.1.4.0
2025/01/31 (09:56:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (13:54:00) | ===> btop++ v.1.4.0
2025/01/31 (13:54:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (13:58:01) | ===> btop++ v.1.4.0
2025/01/31 (13:58:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:01:58) | ===> btop++ v.1.4.0
2025/01/31 (14:01:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:25:52) | ===> btop++ v.1.4.0
2025/01/31 (14:25:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:32:34) | ===> btop++ v.1.4.0
2025/01/31 (14:32:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:34:34) | ===> btop++ v.1.4.0
2025/01/31 (14:34:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:36:51) | ===> btop++ v.1.4.0
2025/01/31 (14:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (20:56:43) | ===> btop++ v.1.4.0
2025/01/31 (20:56:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:03:34) | ===> btop++ v.1.4.0
2025/01/31 (21:03:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:06:37) | ===> btop++ v.1.4.0
2025/01/31 (21:06:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:09:20) | ===> btop++ v.1.4.0
2025/01/31 (21:09:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:10:42) | ===> btop++ v.1.4.0
2025/01/31 (21:10:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:17:33) | ===> btop++ v.1.4.0
2025/01/31 (21:17:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:18:03) | ===> btop++ v.1.4.0
2025/01/31 (21:18:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:23:33) | ===> btop++ v.1.4.0
2025/01/31 (21:23:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:26:30) | ===> btop++ v.1.4.0
2025/01/31 (21:26:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:28:32) | ===> btop++ v.1.4.0
2025/01/31 (21:28:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (21:29:36) | ===> btop++ v.1.4.0
2025/01/31 (21:29:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (10:46:04) | ===> btop++ v.1.4.0
2025/02/02 (10:46:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (13:33:55) | ===> btop++ v.1.4.0
2025/02/02 (13:33:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (20:53:52) | ===> btop++ v.1.4.0
2025/02/02 (20:53:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (12:54:12) | ===> btop++ v.1.4.0
2025/02/10 (12:54:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (08:39:38) | ===> btop++ v.1.4.0
2025/02/13 (08:39:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/13 (08:41:28) | WARNING: Failed to join _runner thread on exit!

2025/02/13 (10:15:15) | ===> btop++ v.1.4.0
2025/02/13 (10:15:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (10:58:30) | ===> btop++ v.1.4.0
2025/02/13 (10:58:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (11:10:49) | ===> btop++ v.1.4.0
2025/02/13 (11:10:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (11:17:37) | ===> btop++ v.1.4.0
2025/02/13 (11:17:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (13:03:16) | ===> btop++ v.1.4.0
2025/02/13 (13:03:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (15:30:30) | ===> btop++ v.1.4.0
2025/02/13 (15:30:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (15:44:32) | ===> btop++ v.1.4.0
2025/02/21 (15:44:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (19:24:22) | ===> btop++ v.1.4.0
2025/03/05 (19:24:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (19:27:05) | ===> btop++ v.1.4.0
2025/03/05 (19:27:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (19:27:40) | ===> btop++ v.1.4.0
2025/03/05 (19:27:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/05 (19:29:06) | WARNING: Failed to join _runner thread on exit!

2025/03/07 (21:35:47) | ===> btop++ v.1.4.0
2025/03/07 (21:35:47) | WARNING: Intel GPU: Failed to initialize PMU

